WARNING: Could not fetch server CONFIG
 
SET: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                           
SET: rps=1035.9 (overall: 1035.9) avg_msec=43.187 (overall: 43.187)
                                                                    
SET: rps=996.0 (overall: 1016.0) avg_msec=50.387 (overall: 46.709)
                                                                   
SET: rps=992.0 (overall: 1008.0) avg_msec=50.634 (overall: 47.998)
                                                                   
SET: rps=1012.0 (overall: 1009.0) avg_msec=49.378 (overall: 48.344)
                                                                    
SET: rps=1051.8 (overall: 1017.6) avg_msec=47.740 (overall: 48.219)
                                                                    
SET: rps=1019.9 (overall: 1018.0) avg_msec=48.783 (overall: 48.313)
                                                                    
SET: rps=1039.8 (overall: 1021.1) avg_msec=47.989 (overall: 48.266)
                                                                    
SET: rps=1008.0 (overall: 1019.4) avg_msec=49.763 (overall: 48.451)
                                                                    
SET: rps=996.0 (overall: 1016.8) avg_msec=49.965 (overall: 48.616)
                                                                   
SET: rps=1044.0 (overall: 1019.5) avg_msec=48.464 (overall: 48.600)
                                                                    
SET: rps=1027.9 (overall: 1020.3) avg_msec=47.798 (overall: 48.527)
                                                                    
SET: rps=1008.0 (overall: 1019.3) avg_msec=50.113 (overall: 48.657)
                                                                    
SET: rps=1027.9 (overall: 1019.9) avg_msec=48.380 (overall: 48.636)
                                                                    
SET: rps=1056.0 (overall: 1022.5) avg_msec=47.042 (overall: 48.518)
                                                                    
SET: rps=964.1 (overall: 1018.6) avg_msec=51.877 (overall: 48.731)
                                                                   
SET: rps=980.0 (overall: 1016.2) avg_msec=50.941 (overall: 48.864)
                                                                   
SET: rps=1004.0 (overall: 1015.5) avg_msec=50.087 (overall: 48.935)
                                                                    
SET: rps=1028.0 (overall: 1016.2) avg_msec=49.157 (overall: 48.947)
                                                                    
SET: rps=1008.0 (overall: 1015.7) avg_msec=48.975 (overall: 48.949)
                                                                    
SET: rps=1000.0 (overall: 1015.0) avg_msec=49.941 (overall: 48.998)
                                                                    
SET: rps=1052.0 (overall: 1016.7) avg_msec=47.545 (overall: 48.926)
                                                                    
SET: rps=996.0 (overall: 1015.8) avg_msec=49.790 (overall: 48.965)
                                                                   
SET: rps=1032.0 (overall: 1016.5) avg_msec=48.817 (overall: 48.958)
                                                                    
SET: rps=988.0 (overall: 1015.3) avg_msec=50.900 (overall: 49.037)
                                                                   
SET: rps=1079.7 (overall: 1017.9) avg_msec=46.531 (overall: 48.930)
                                                                    
SET: rps=1032.0 (overall: 1018.4) avg_msec=48.309 (overall: 48.906)
                                                                    
SET: rps=1072.0 (overall: 1020.4) avg_msec=46.640 (overall: 48.818)
                                                                    
SET: rps=972.1 (overall: 1018.7) avg_msec=50.932 (overall: 48.890)
                                                                   
SET: rps=1027.9 (overall: 1019.0) avg_msec=48.669 (overall: 48.883)
                                                                    
SET: rps=1000.0 (overall: 1018.4) avg_msec=50.147 (overall: 48.924)
                                                                    
SET: rps=1000.0 (overall: 1017.8) avg_msec=49.837 (overall: 48.953)
                                                                    
SET: rps=996.0 (overall: 1017.1) avg_msec=49.977 (overall: 48.984)
                                                                   
SET: rps=976.0 (overall: 1015.8) avg_msec=51.698 (overall: 49.063)
                                                                   
SET: rps=1008.0 (overall: 1015.6) avg_msec=49.558 (overall: 49.078)
                                                                    
SET: rps=1000.0 (overall: 1015.2) avg_msec=49.974 (overall: 49.103)
                                                                    
SET: rps=992.0 (overall: 1014.5) avg_msec=49.951 (overall: 49.126)
                                                                   
SET: rps=996.0 (overall: 1014.0) avg_msec=50.837 (overall: 49.171)
                                                                   
SET: rps=976.0 (overall: 1013.0) avg_msec=50.870 (overall: 49.214)
                                                                   
SET: rps=972.1 (overall: 1012.0) avg_msec=51.657 (overall: 49.275)
                                                                   
SET: rps=976.1 (overall: 1011.1) avg_msec=50.511 (overall: 49.305)
                                                                   
SET: rps=1067.7 (overall: 1012.5) avg_msec=47.616 (overall: 49.261)
                                                                    
SET: rps=1020.0 (overall: 1012.6) avg_msec=48.939 (overall: 49.253)
                                                                    
SET: rps=1047.8 (overall: 1013.5) avg_msec=48.029 (overall: 49.224)
                                                                    
SET: rps=1063.7 (overall: 1014.6) avg_msec=46.764 (overall: 49.165)
                                                                    
